                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5434,                 2.9502,                 1.3203,                 1.5495,                0.84568,                 0.6912,                0.78307,                0.40325,                0.15412,                0.12613,                0.03568,                0.00682,                 1.7427,                  2.833,                 1.2463,                 1.8369,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5266,                 3.0375,                 1.3171,                 1.5204,                0.80844,                0.74775,                0.81091,                0.39913,                0.11915,                0.15315,                0.03183,                 0.0052,                 1.7779,                 2.8002,                  1.184,                 1.8843,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5204,                 3.0578,                 1.2737,                 1.5073,                0.89255,                0.67356,                0.79098,                0.42422,                0.14963,                0.11712,                0.02251,                0.00412,                 1.6293,                 2.7888,                 1.1981,                 1.7586,               0.001505,               0.001505,               0.001505
                     27,                  1.502,                 3.0265,                 1.2611,                 1.5052,                  0.868,                0.59244,                0.75351,                0.38129,                0.16311,                0.12613,                0.03268,                0.00475,                 1.7284,                 2.7689,                 1.2812,                 1.8339,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5518,                 3.0321,                 1.2803,                 1.5327,                0.74286,                0.75676,                 0.7948,                0.43146,                 0.1366,                0.18018,                0.05446,                0.00936,                 1.6992,                 2.8141,                 1.1404,                  1.843,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.5069,                  2.996,                 1.2747,                 1.4974,                0.85604,                0.68468,                0.78668,                0.43637,                0.10167,                0.11712,                0.01926,                0.00353,                 1.6814,                 2.6747,                 1.1191,                  1.818,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.495,                 3.0132,                 1.2519,                 1.4834,                 0.8295,                0.70128,                0.80439,                0.43001,                0.10579,                 0.0991,                0.02833,                 0.0059,                 1.5823,                 2.7161,                 1.1515,                 1.7461,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.5155,                 3.0303,                 1.2873,                  1.513,                0.93021,                0.72046,                0.84673,                0.44035,                0.22475,                0.17117,                0.06308,                0.00958,                 1.7006,                 2.8597,                 1.0771,                 1.8212,               0.001406,               0.001406,               0.001406
                     32,                 1.4738,                  2.987,                 1.2708,                 1.4811,                  0.804,                0.66521,                0.78453,                0.37294,                0.13428,                0.10811,                0.02017,                0.00381,                 1.8096,                 2.7839,                 1.2107,                 1.9062,              0.0013862,              0.0013862,              0.0013862
                     33,                  1.469,                 2.9878,                 1.2459,                 1.4786,                 0.7188,                0.69089,                0.76319,                0.42888,                 0.1902,                0.13514,                0.03956,                0.00837,                 1.6438,                 2.7384,                  1.162,                 1.8097,              0.0013664,              0.0013664,              0.0013664
                     34,                   1.49,                 2.9598,                 1.2114,                 1.5081,                0.81897,                0.69286,                0.79103,                 0.4171,                0.18698,                0.17117,                0.08541,                0.01466,                 1.7329,                 2.7352,                 1.1984,                  1.891,              0.0013466,              0.0013466,              0.0013466
